Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
434;23070700;DEUTDEDB237;Deutsche Bank Privat und Geschäftskunden;Ratekau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
435;23070700;DEUTDEDB237;Deutsche Bank Privat und Geschäftskunden;Bad Oldesloe;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
436;23070700;DEUTDEDB237;Deutsche Bank Privat und Geschäftskunden;Eutin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
437;23070700;DEUTDEDB237;Deutsche Bank Privat und Geschäftskunden;Bad Segeberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
438;23070710;DEUTDEHH222;Deutsche Bank;Lübeck;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
439;23090142;GENODEF1HLU;Volksbank Lübeck Landbank von 1902 eG;Lübeck ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
440;24050110;NOLADE21LBG;Sparkasse Lüneburg;Lüneburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
441;24060300;GENODEF1NBU;Volksbank Nordheide eG;Nordheide ;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
442;24070024;DEUTDEDB240;Deutsche Bank Privat und Geschäftskunden;Lüneburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
443;24070024;DEUTDEDB240;Deutsche Bank Privat und Geschäftskunden;Uelzen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
444;24070075;DEUTDE2H240;Deutsche Bank;Lüneburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
445;24070075;DEUTDE2H240;Deutsche Bank;Uelzen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
446;24121000;GENODED1RKI;Ritterschaftl. Kreditinst. Stade;Stade;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
447;24150001;BRLADE21CUX;Stadtsparkasse Cuxhaven;Cuxhaven;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni1.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
448;24151005;NOLADE21STS;Sparkasse Stade-Altes Land;Stade;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
449;24151116;NOLADE21STK;Kreissparkasse Stade;Stade;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
450;24151235;BRLADE21ROB;Sparkasse Rotenburg Osterholz;Rotenburg-Bremervörde;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni1.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
451;24162898;GENODEF1LAS;Spar- und Darlehnskasse Börde Lamstedt-Hechthausen;Lamstedt-Hechthausen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
452;24191015;GENODEF1SDE;Volksbank Stade-Cuxhaven eG;Stade-Cuxhaven;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
453;25010030;PBNKDEFFXXX;Postbank;Hannover;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015
454;25010900;CKVHDE21XXX;Calenberger Kreditverein;Calenberg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
455;25040066;COBADEFFXXX;Commerzbank;Hannover;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;04.04.2018
456;25050000;NOLADE2HXXX;Nord/LB Hannover;Hannover-Braunschweig-Magdeburg-Schwerin;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-li1.s-fints-pt-li.de/fints30;FinTS V3.0;09.02.2022
457;25050180;SPKHDE2HXXX;Sparkasse Hannover;Hannover;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni4.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
458;25060180;HALLDE2HXXX;Bankhaus Hallbaum (M.M.Warburg);Hamburg;B+S Banksysteme AG;BdB;www.warburg-bank.de;188.21.13.34;3.0;;;ja;ja;;ja;;;ja;ja;ja;;;;https://www.warburg-bank.de/fints;FinTS V3.0;15.02.2019
459;25069262;GENODEF1NST;Raiffeisen-Volksbank Neustadt eG;Neustadt;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
460;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Hannover;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
461;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Stadthagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
462;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Barsinghausen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
463;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Burgdorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
464;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Laatzen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
465;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Langenhagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
466;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Nienburg (Weser);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
467;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Holzminden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
468;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Munster;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
469;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Geschäftskunden;Soltau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
470;25070066;DEUTDE2H265;Deutsche Bank;Stadthagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
471;25070070;DEUTDE2HXXX;Deutsche Bank;Hannover;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
472;25070070;DEUTDE2HXXX;Deutsche Bank;Barsinghausen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
473;25070070;DEUTDE2HXXX;Deutsche Bank;Langenhagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
474;25070070;DEUTDE2HXXX;Deutsche Bank;Laatzen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
475;25070070;DEUTDE2HXXX;Deutsche Bank;Burgdorf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
476;25070077;DEUTDE2H256;Deutsche Bank;Nienburg (Weser);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
477;25070084;DEUTDE2H258;Deutsche Bank;Soltau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
478;25070084;DEUTDE2H258;Deutsche Bank;Munster;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
479;25070086;DEUTDE2H251;Deutsche Bank;Holzminden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
480;25090500;GENODEF1S09;Sparda-Bank Hannover eG;Hannover;Atruvia AG;BVR;;;;;;;;;;;;;;;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
481;25090900;GENODEF1P09;PSD Bank Hannover;Hannover;Atruvia AG;BVR;;;;;;;;;;;;;;;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
482;25151270;NOLADE21BAH;Stadtsparkasse Barsinghausen;Barsinghausen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
483;25151371;NOLADE21BUF;Stadtsparkasse Burgdorf;Burgdorf;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
484;25152375;NOLADE21WAL;Kreissparkasse Walsrode;Walsrode;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
485;25152490;NOLADE21WST;Stadtsparkasse Wunsdorf;Wunstorf;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
486;25190001;VOHADE2HXXX;Hannoversche Volksbank eG;Hannover, Garbsen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
487;25193331;GENODEF1PAT;Volksbank Hildesheim-Lehrte-Pattensen eG;Hildesheim-Lehrte-Pattensen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
488;25450110;NOLADE21SWB;Sparkasse Hameln-Weserbergland;Hameln;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
489;25451345;NOLADE21PMT;Stadtsparkasse Bad Pyrmont;Bad Pyrmont;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
490;25462160;GENODEF1HMP;Volksbank Hameln-Stadthagen eG;Hameln-Pyrmont;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
491;25462680;GENODEF1COP;Volksbank am Ith eG;Coppenbrügge;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
492;25470024;DEUTDEDB254;Deutsche Bank Privat und Geschäftskunden;Hameln;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
493;25470024;DEUTDEDB254;Deutsche Bank Privat und Geschäftskunden;Bad Pyrmont;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
494;25470073;DEUTDE2H254;Deutsche Bank;Hameln;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
495;25471024;DEUTDEDB264;Deutsche Bank Privat und Geschäftskunden;Rinteln;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
496;25471073;DEUTDE2H264;Deutsche Bank;Rinteln;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
497;25551480;NOLADE21SHG;Sparkasse Schaumburg;Schaumburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
498;25591413;GENODEF1BCK;Volksbank in Schaumburg und Nienburg eG;Rinteln;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
499;25650106;NOLADE21NIB;Sparkasse Nienburg;Nienburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
500;25651325;BRLADE21DHZ;Kreissparkasse Grafschaft Diepholz;Diepholz;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni1.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
501;25691633;GENODEF1SUL;Volksbank eG Sulingen ;Sulingen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
502;25770024;DEUTDEDB257;Deutsche Bank Privat und Geschäftskunden;Celle;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
503;25770069;DEUTDE2H257;Deutsche Bank;Celle;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
504;25791635;GENODEF1HMN;Volksbank eG Südheide-Isenhagener Land-Altmark;Celle;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
505;25850110;NOLADE21UEL;Sparkasse Uelzen Lüchow-Dannenberg;Uelzen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
506;25851660;NOLADE21SOL;Kreissparkasse Soltau;Soltau;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
507;25862292;GENODEF1EUB;Volksbank Uelzen-Bevensen eG;Uelzen-Bevensen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
508;25863489;GENODEF1WOT;Volksbank Osterburg-Lüchow-Dannenberg eG;Osterburg-Wendland;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
509;25940033;COBADEFFXXX;Commerzbank;Hildesheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
510;25950130;NOLADE21HIK;Sparkasse Hildesheim;Hildesheim;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
511;25970024;DEUTDEDB259;Deutsche Bank Privat und Geschäftskunden;Hildesheim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
512;25970074;DEUTDE2H259;Deutsche Bank;Hildesheim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
513;25971024;DEUTDEDB253;Deutsche Bank Privat und Geschäftskunden;Alfeld (Leine);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
514;25971024;DEUTDEDB253;Deutsche Bank Privat und Geschäftskunden;Gronau (Leine);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
515;25971071;DEUTDE2H253;Deutsche Bank;Alfeld (Leine);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
516;25971071;DEUTDE2H253;Deutsche Bank;Gronau (Leine);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
517;26040030;COBADEFFXXX;Commerzbank;Göttingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
518;26050001;NOLADE21GOE;Sparkasse Göttingen;Göttingen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
519;26051260;NOLADE21DUD;Sparkasse Duderstadt;Duderstadt;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
520;26061556;GENODEF1ADE;Volksbank Adelebsen eG;Adelebsen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
521;26062433;GENODEF1DRA;VR-Bank in Südniedersachsen;Dransfeld;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
522;26070024;DEUTDEDB260;Deutsche Bank Privat und Geschäftskunden;Göttingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
523;26070024;DEUTDEDB260;Deutsche Bank Privat und Geschäftskunden;Northeim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
524;26070072;DEUTDE2H260;Deutsche Bank;Göttingen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
525;26070072;DEUTDE2H260;Deutsche Bank;Northeim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
526;26240039;COBADEFFXXX;Commerzbank;Northeim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
527;26240039;COBADEFFXXX;Commerzbank;Einbeck;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
528;26250001;NOLADE21NOM;Kreissparkasse Northeim;Northeim;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
529;26251425;NOLADE21EIN;Sparkasse Einbeck;Einbeck;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
530;26261693;GENODEF1HDG;Volksbank Solling eG;Solling;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
531;26271424;DEUTDEDB262;Deutsche Bank Privat und Geschäftskunden;Einbeck;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
532;26271471;DEUTDE2H262;Deutsche Bank;Einbeck;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
533;26340056;COBADEFFXXX;Commerzbank;Osterode ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
534;26341072;COBADEFFXXX;Commerzbank;Herzberg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
535;26351015;NOLADE21HZB;Sparkasse Osterode am Harz;Osterode am Harz;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
536;26540070;COBADEFFXXX;Commerzbank;Osnabrück;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
537;26540070;COBADEFFXXX;Commerzbank;Dissen ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
538;26550105;NOLADE22XXX;Sparkasse Osnabrück;Osnabrück;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
539;26551540;NOLADE21BEB;Kreissparkasse Bersenbrück;Bersenbrück;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
540;26552286;NOLADE21MEL;Kreissparkasse Melle;Melle;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
541;26562490;GENODEF1HTR;Volksbank Melle-Borgloh eG;Melle;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
542;26565928;GENODEF1HGM;Volksbank Georgsmarienhütte-Hagen eG;Georgsmarienhütte;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
543;26567943;GENODEF1NOP;VR-Bank eG im Altkreis Bersenbrück;Grafeld-Nortrup;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
544;26567943;GENODEF1NOP;RVB Grafeld-Nortup eG;Neuenkirchen, Grafeld-Nortup;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
545;26570024;DEUTDEDB265;Deutsche Bank Privat und Geschäftskunden;Osnabrück;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
